,Ticker,Expires,Data_Date,UnderlyingPrice
5360,AAWW,19-Jan-18,26-Dec-17,59.85
5388,AAWW,16-Feb-18,26-Dec-17,59.85
5434,AAWW,18-May-18,26-Dec-17,59.85
5484,AAWW,17-Aug-18,26-Dec-17,59.85
10070,ACAD,29-Dec-17,26-Dec-17,30.46
10136,ACAD,5-Jan-18,26-Dec-17,30.46
10178,ACAD,12-Jan-18,26-Dec-17,30.46
10218,ACAD,19-Jan-18,26-Dec-17,30.46
10306,ACAD,26-Jan-18,26-Dec-17,30.46
10344,ACAD,2-Feb-18,26-Dec-17,30.46
10372,ACAD,16-Feb-18,26-Dec-17,30.46
10430,ACAD,16-Mar-18,26-Dec-17,30.46
10506,ACAD,15-Jun-18,26-Dec-17,30.46
10580,ACAD,18-Jan-19,26-Dec-17,30.46
10608,ACAD,17-Jan-20,26-Dec-17,30.46
18008,AEGN,19-Jan-18,26-Dec-17,25.06
18024,AEGN,16-Feb-18,26-Dec-17,25.06
18038,AEGN,16-Mar-18,26-Dec-17,25.06
18054,AEGN,15-Jun-18,26-Dec-17,25.06
22296,AGIO,19-Jan-18,26-Dec-17,59.82
22320,AGIO,16-Feb-18,26-Dec-17,59.82
22348,AGIO,18-May-18,26-Dec-17,59.82
22378,AGIO,17-Aug-18,26-Dec-17,59.82
27974,AKBA,19-Jan-18,26-Dec-17,15.37
27994,AKBA,16-Feb-18,26-Dec-17,15.37
28016,AKBA,20-Apr-18,26-Dec-17,15.37
28038,AKBA,20-Jul-18,26-Dec-17,15.37
28166,AKRX,19-Jan-18,26-Dec-17,31.95
28208,AKRX,16-Feb-18,26-Dec-17,31.95
28232,AKRX,16-Mar-18,26-Dec-17,31.95
28258,AKRX,15-Jun-18,26-Dec-17,31.95
28282,AKS,29-Dec-17,26-Dec-17,5.78
28318,AKS,5-Jan-18,26-Dec-17,5.78
28356,AKS,12-Jan-18,26-Dec-17,5.78
28396,AKS,19-Jan-18,26-Dec-17,5.78
28450,AKS,26-Jan-18,26-Dec-17,5.78
28492,AKS,2-Feb-18,26-Dec-17,5.78
28536,AKS,16-Feb-18,26-Dec-17,5.78
28556,AKS,16-Mar-18,26-Dec-17,5.78
28582,AKS,15-Jun-18,26-Dec-17,5.78
28604,AKS,18-Jan-19,26-Dec-17,5.78
28624,AKS,17-Jan-20,26-Dec-17,5.78
29060,ALDR,19-Jan-18,26-Dec-17,11.55
29084,ALDR,16-Feb-18,26-Dec-17,11.55
29100,ALDR,20-Apr-18,26-Dec-17,11.55
29114,ALDR,20-Jul-18,26-Dec-17,11.55
29610,ALGN,29-Dec-17,26-Dec-17,223.54
29714,ALGN,5-Jan-18,26-Dec-17,223.54
29822,ALGN,12-Jan-18,26-Dec-17,223.54
