,Ticker,Expires,Data_Date,UnderlyingPrice
5236,AAWW,"Feb 15, 2019","Feb 04, 2019",54.52
5290,AAWW,"Mar 15, 2019","Feb 04, 2019",54.52
5312,AAWW,"May 17, 2019","Feb 04, 2019",54.52
5360,AAWW,"Aug 16, 2019","Feb 04, 2019",54.52
9768,ACAD,"Feb 08, 2019","Feb 04, 2019",22.7
9832,ACAD,"Feb 15, 2019","Feb 04, 2019",22.7
9896,ACAD,"Feb 22, 2019","Feb 04, 2019",22.7
9942,ACAD,"Mar 01, 2019","Feb 04, 2019",22.7
9976,ACAD,"Mar 08, 2019","Feb 04, 2019",22.7
10010,ACAD,"Mar 15, 2019","Feb 04, 2019",22.7
10080,ACAD,"Mar 22, 2019","Feb 04, 2019",22.7
10108,ACAD,"Jun 21, 2019","Feb 04, 2019",22.7
10178,ACAD,"Sep 20, 2019","Feb 04, 2019",22.7
10224,ACAD,"Jan 17, 2020","Feb 04, 2019",22.7
10258,ACAD,"Jan 15, 2021","Feb 04, 2019",22.7
18728,AEGN,"Feb 15, 2019","Feb 04, 2019",18.37
18750,AEGN,"Mar 15, 2019","Feb 04, 2019",18.37
18764,AEGN,"Jun 21, 2019","Feb 04, 2019",18.37
18780,AEGN,"Sep 20, 2019","Feb 04, 2019",18.37
22192,AGIO,"Feb 15, 2019","Feb 04, 2019",54.29
22238,AGIO,"Mar 15, 2019","Feb 04, 2019",54.29
22262,AGIO,"May 17, 2019","Feb 04, 2019",54.29
22294,AGIO,"Aug 16, 2019","Feb 04, 2019",54.29
27616,AKBA,"Feb 15, 2019","Feb 04, 2019",5.8
27626,AKBA,"Mar 15, 2019","Feb 04, 2019",5.8
27636,AKBA,"Apr 18, 2019","Feb 04, 2019",5.8
27648,AKBA,"Jul 19, 2019","Feb 04, 2019",5.8
27808,AKRX,"Feb 08, 2019","Feb 04, 2019",4.16
27836,AKRX,"Feb 15, 2019","Feb 04, 2019",4.16
27864,AKRX,"Feb 22, 2019","Feb 04, 2019",4.16
27890,AKRX,"Mar 01, 2019","Feb 04, 2019",4.16
27916,AKRX,"Mar 08, 2019","Feb 04, 2019",4.16
27942,AKRX,"Mar 15, 2019","Feb 04, 2019",4.16
27984,AKRX,"Mar 22, 2019","Feb 04, 2019",4.16
28010,AKRX,"Jun 21, 2019","Feb 04, 2019",4.16
28050,AKRX,"Sep 20, 2019","Feb 04, 2019",4.16
28076,AKRX,"Jan 17, 2020","Feb 04, 2019",4.16
28120,AKRX,"Jan 15, 2021","Feb 04, 2019",4.16
28158,AKS,"Feb 08, 2019","Feb 04, 2019",3.0
28178,AKS,"Feb 15, 2019","Feb 04, 2019",3.0
28204,AKS,"Feb 22, 2019","Feb 04, 2019",3.0
28224,AKS,"Mar 01, 2019","Feb 04, 2019",3.0
28246,AKS,"Mar 08, 2019","Feb 04, 2019",3.0
28266,AKS,"Mar 15, 2019","Feb 04, 2019",3.0
28284,AKS,"Mar 22, 2019","Feb 04, 2019",3.0
28306,AKS,"Apr 18, 2019","Feb 04, 2019",3.0
28316,AKS,"Jun 21, 2019","Feb 04, 2019",3.0
28334,AKS,"Sep 20, 2019","Feb 04, 2019",3.0
28344,AKS,"Jan 17, 2020","Feb 04, 2019",3.0
28356,AKS,"Jan 15, 2021","Feb 04, 2019",3.0
28744,ALDR,"Feb 15, 2019","Feb 04, 2019",14.14
28760,ALDR,"Mar 15, 2019","Feb 04, 2019",14.14
28778,ALDR,"Apr 18, 2019","Feb 04, 2019",14.14
28802,ALDR,"Jul 19, 2019","Feb 04, 2019",14.14
29334,ALGN,"Feb 08, 2019","Feb 04, 2019",244.54
29500,ALGN,"Feb 15, 2019","Feb 04, 2019",244.54
29606,ALGN,"Feb 22, 2019","Feb 04, 2019",244.54
