,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
155016,CRZO,22.28,*,call,10.0,0.0,12.0,14.4,0,0,0,2016-02-19,2016-02-18
155017,CRZO,22.28,*,put,10.0,0.0,0.0,0.45,0,0,0,2016-02-19,2016-02-18
155018,CRZO,22.28,*,call,12.5,0.0,9.3,12.0,0,0,0,2016-02-19,2016-02-18
155019,CRZO,22.28,*,put,12.5,0.05,0.0,0.5,0,112,0,2016-02-19,2016-02-18
155020,CRZO,22.28,*,call,15.0,0.0,7.0,9.8,0,0,0,2016-02-19,2016-02-18
155021,CRZO,22.28,*,put,15.0,0.05,0.0,0.5,0,118,0,2016-02-19,2016-02-18
155022,CRZO,22.28,*,call,17.5,8.0,4.4,7.0,0,4,0,2016-02-19,2016-02-18
155023,CRZO,22.28,*,put,17.5,0.05,0.0,0.5,12,295,0,2016-02-19,2016-02-18
155024,CRZO,22.28,*,call,20.0,6.69,2.15,4.7,0,2142,0,2016-02-19,2016-02-18
155025,CRZO,22.28,*,put,20.0,0.15,0.0,0.15,12,515,0,2016-02-19,2016-02-18
155026,CRZO,22.28,*,call,22.5,2.0,0.3,0.5,0,365,0,2016-02-19,2016-02-18
155027,CRZO,22.28,*,put,22.5,0.4,0.45,0.65,108,451,0,2016-02-19,2016-02-18
155028,CRZO,22.28,*,call,25.0,0.05,0.0,0.05,18,3720,0,2016-02-19,2016-02-18
155029,CRZO,22.28,*,put,25.0,1.24,1.1,3.0,5,449,0,2016-02-19,2016-02-18
155030,CRZO,22.28,*,call,27.5,0.1,0.0,0.5,0,1688,0,2016-02-19,2016-02-18
155031,CRZO,22.28,*,put,27.5,3.37,3.3,5.6,5,65,0,2016-02-19,2016-02-18
155032,CRZO,22.28,*,call,30.0,0.05,0.0,0.15,1,700,0,2016-02-19,2016-02-18
155033,CRZO,22.28,*,put,30.0,6.5,6.0,7.9,1,312,0,2016-02-19,2016-02-18
155034,CRZO,22.28,*,call,32.5,0.05,0.0,0.1,0,386,0,2016-02-19,2016-02-18
155035,CRZO,22.28,*,put,32.5,6.2,8.1,10.5,0,15,0,2016-02-19,2016-02-18
155036,CRZO,22.28,*,call,35.0,0.03,0.0,0.5,0,141,0,2016-02-19,2016-02-18
155037,CRZO,22.28,*,put,35.0,8.26,10.3,13.0,0,17,0,2016-02-19,2016-02-18
